共通,,
都道府県,式場名,
愛知,THE TOWER HOTEL NAGOYA（ザ タワーホテル ナゴヤ）,
愛知,THE CONDER HOUSE（ザ コンダー ハウス）,
愛知,ザ・グランドティアラ一宮,
愛知,THE GRASS HOUSE 桜の杜,
愛知,スウィートローゼスクラブ岡崎,
愛知,ストリングス ウエディングヒルズ,
愛知,ストリングスホテル 名古屋（THE STRINGS HOTEL NAGOYA）,
愛知,ストリングスホテル 名古屋（THE STRINGS HOTEL NAGOYA）,
愛知,セレブレーション!ステラ,
愛知,セントグレース大聖堂 the Garden by NEXT WEDDING,
愛知,龍城神社,
愛知,トリフォーリアNAGOYA,
愛知,名古屋ガーデンパレス（ナゴヤガーデンパレス）,
愛知,名古屋マリオットアソシアホテル,
愛知,名古屋東急ホテル,
愛知,名古屋観光ホテル,
愛知,河文,
愛知,Neo Japanesque Wedding 百花籠,
愛知,ヒルトン名古屋,
愛知,BIANCARA HILLSIDE TERRACE（ビアンカーラ ヒルサイドテラス）,
愛知,BIANCARA MARINA TERRACE（ビアンカーラ マリーナ テラス）,
愛知,フェリシアコート,
愛知,フレアージュ葵,
愛知,ブルー:ブラン（Bleu Blanc）,
愛知,ブルーレマン名古屋（Bleu Leman名古屋）,
愛知,ブラン:ベージュ（Blanc Beige）,
愛知,ベルアンジュール,
愛知,星ヶ丘 アートグレイスクラブ,
愛知,ホテルアークリッシュ豊橋,
愛知,HOTEL MIELPARQUE NAGOYA（ホテル メルパルク 名古屋）,
愛知,ホテルナゴヤキャッスル,
愛知,ホテルグランドティアラ安城,
愛知,マリエカリヨン名古屋,
愛知,マリエール山手,
愛知,マリエール岡崎,
愛知,マリエール ガーデン バーベナ（Marriyell Garden Verbena）,
愛知,マンダリンポルト（Mandarin Port）,
愛知,MAXI MANIS（マキシマニス）,
愛知,三河湾リゾートリンクス,
愛知,MEDI（メディ―）,
愛知,モアチェモアチェ moitie moitie,
愛知,ララシャンスOKAZAKI迎賓館,
愛知,LAZOR GARDEN NAGOYA（ラソールガーデン名古屋）,
愛知,Rapport ラポール,
愛知,ラグナスイート 名古屋 ホテル&ウエディング,
愛知,LA TABLE Aoyama（ラ・ターブル アオヤマ）,
愛知,ラグナヴェール 名古屋（LAGUNAVEIL NAGOYA）,
愛知,La source ANN（ラ・スースアン）,
愛知,リトル・リトリート,
愛知,ルクリアモーレ名古屋,
愛知,ルージュ:ブラン（Rouge Blanc）,
愛知,ルージュアルダン（Rouge Ardent）,
愛知,LUCENT Mariage Tower（ルーセント マリアージュ タワー）,
愛知,若宮の杜 迎賓館/若宮八幡社,
大阪,アートグレイス ウエディングコースト,
大阪,アルカンシエルリュクスマリアージュ大阪,
大阪,アルモニーアンブラッセ ウエディングホテル,
大阪,アニヴェルセル 大阪,
大阪,アヴァンセ リアン 大阪（AVANCER LIEN OSAKA）,
大阪,アンジェリカノートルダム,
大阪,アニヴェルセル 江坂,
大阪,アイネスヴィラノッツェ大阪（アイネスヴィラノッツェオオサカ）,
大阪,アクアガーデンテラス(大阪),
大阪,アーフェリーク迎賓館(大阪),
大阪,アイネス ヴィラノッツェ オーシャンポートサイド,
大阪,アーセンティア迎賓館(大阪),
大阪,WEDDING TERRACE（ウエディングテラス）,
大阪,ウェスティンホテル大阪,
大阪,Wedding Space Lover's Mahalo,
大阪,ANAクラウンプラザホテル大阪 （旧名：大阪全日空ホテル）,
大阪,大阪城西の丸庭園 大阪迎賓館,
大阪,ホテル大阪ガーデンパレス,
大阪,OSAKA St.BATH CHURCH（大阪セントバース教会）,
大阪,大阪天満宮,
大阪,大阪市中央公会堂,
大阪,Casa Noble OSEIRYU（カーザ ノーブレ オ・セイリュウ）,
大阪,キャッスルガーデンOSAKA,
大阪,旧桜宮公会堂（きゅうさくらのみやこうかいどう）,
大阪,クナーベ,
大阪,GRAN AMO（グラン アーモ）,
大阪,KKRホテル大阪,
大阪,迎賓館（ゲイヒンカン）,
大阪,堺筋倶楽部（さかいすじくらぶ）,
大阪,The 33 Sense of Wedding（ザ・サーティスリー センス・オブ・ウエディング）,
大阪,ザ・ジョージアンテラス,
大阪,THE LANDMARK SQUARE OSAKA（ザ ランドマークスクエア オオサカ）,
大阪,THE GARDEN ORIENTAL OSAKA（ザガーデンオリエンタルオオサカ）,
大阪,ザ・リッツ・カールトン大阪,
大阪,CITYPLAZA OSAKA HOTEL&SPA（シティプラザオオサカ ホテル＆スパ）,
大阪,スイスホテル南海大阪,
大阪,住吉大社吉祥殿,
大阪,セントラファエロチャペル御堂筋,
大阪,心斎橋セントグレース ヴィラ,
大阪,セントアクアチャペル梅田,
大阪,千里阪急ホテル,
大阪,セント レジス ホテル 大阪,
大阪,セントアクアチャペル大阪,
大阪,チャペル・ド・コフレ,
大阪,鶴見ノ森 迎賓館,
大阪,帝国ホテル大阪,
大阪,デュクラス大阪（DUCLASS OSAKA）,
大阪,TOP30 WEDDING（トップサーティーウェディング）,
大阪,ノートルダム大阪ONE,
大阪,ハイアットリージェンシー大阪,
大阪,バリラックス ザ ガーデン 梅田,
大阪,PARK SIDE HOUSE OSAKA （旧名：ロイヤルガーデン 大阪梅田）（パークサイドハウス大阪）,
大阪,ヒルトン大阪,
大阪,フリジェリオ,
大阪,ベルクラシック空港,
大阪,ホテルモントレ大阪,
大阪,ホテルモントレ ラ・スール大阪,
大阪,ホテルモントレ グラスミア大阪,
